,lat,lon,final
558,42.29699707,-71.21959686,Massachusetts
559,26.55839539,-81.89969635,Florida
560,43.05110168,-77.5223999,New York
561,47.24809265,-122.4725952,Washington
562,26.62289429,-81.71289825,Florida
563,39.04170227,-94.72019958,Kansas
564,37.34860229,-121.951004,California
565,34.71350098,-86.74210358,Alabama
566,29.70779419,-95.47370148,Texas
567,35.22709656,-80.8431015,North Carolina
568,29.76860046,-95.50440216,Texas
569,27.92900085,-82.74160004,Florida
570,41.67269897,-93.57219696,Iowa
571,29.54150391,-98.56099701,Texas
572,37.53990173,-77.4335022,Virginia
573,34.09179688,-84.22090149,Georgia
574,32.77870178,-96.82170105,Texas
575,27.13409424,-82.25009918,Florida
576,41.44520569,-81.69960022,Ohio
577,43.15480042,-77.61560059,New York
578,30.16889954,-92.05989838,Louisiana
579,40.47239685,-104.893898,Colorado
580,41.44520569,-81.69960022,Ohio
581,30.353302,-81.49900055,Florida
582,40.05929565,-75.04640198,Pennsylvania
583,35.77209473,-78.63860321,North Carolina
584,41.29170227,-96.1710968,Nebraska
585,40.02310181,-83.18099976,Ohio
586,29.74819946,-95.49089813,Texas
587,29.63330078,-90.67320251,Louisiana
588,38.63609314,-90.37689972,Missouri
589,33.32009888,-111.8739014,Arizona
590,34.0007019,-81.03479767,South Carolina
591,32.58320618,-94.71479797,Texas
592,32.78250122,-96.8207016,Texas
593,36.07260132,-79.79199982,North Carolina
594,26.40950012,-80.09420013,Florida
595,37.59620667,-86.1072998,Kentucky
596,35.68760681,-77.16609955,North Carolina
597,33.81610107,-117.9794006,California
598,36.08770752,-115.1484985,Nevada
599,46.32820129,-119.3222046,Washington
600,32.32229614,-90.10870361,Mississippi
601,40.67660522,-73.70379639,New York
602,29.40809631,-94.90779877,Texas
603,40.77619934,-73.95480347,New York
604,29.96910095,-95.69719696,Texas
605,32.25410461,-110.8785019,Arizona
606,36.05819702,-83.91470337,Tennessee
607,33.59440613,-111.4485016,Arizona
608,37.56700134,-121.9828949,California
609,33.69569397,73.01130676,Islamabad Capital Territory
610,39.15879822,-75.49410248,Delaware
611,40.69760132,-74.26319885,New Jersey
612,32.36940002,-96.78730011,Texas
613,32.77870178,-96.82170105,Texas
614,32.77870178,-96.82170105,Texas
615,29.65159607,-82.32479858,Florida
616,30.72470093,-94.82299805,Texas
617,32.77870178,-96.82170105,Texas
618,37.75100708,-97.8219986,Kansas
619,47.68539429,-122.2872009,Washington
620,18.9750061,72.82580566,Maharashtra
621,28.02879333,-82.76889801,Florida
622,36.03100586,-77.98480225,North Carolina
623,35.60090637,-82.55400085,North Carolina
624,39.95370483,-82.93170166,Ohio
625,45.04690552,-93.4265976,Minnesota
626,45.04690552,-93.4265976,Minnesota
627,45.04690552,-93.4265976,Minnesota
628,39.63870239,-75.61949921,Delaware
629,27.24980164,-80.37969971,Florida
630,40.37559509,-80.07430267,Pennsylvania
631,43.04910278,-88.00260162,Wisconsin
632,32.92990112,-96.83529663,Texas
633,33.74899292,-84.38800049,Georgia
